cod_mun;codigo;digito;cidade;estado;latitude;longitude;altitude
5100201;510020;1;agua boa;mt;-14,0490868;-52,1589153;400
5100250;510025;0;alta floresta;mt;-9,871722597;-56,09161044;283
5100300;510030;0;alto araguaia;mt;-17,31558994;-53,22026033;692
5100359;510035;9;alto boa vista;mt;-11,67674516;-51,37932207;0
5100409;510040;9;alto garcas;mt;-16,94672218;-53,52845412;754
5100508;510050;8;alto paraguai;mt;-14,51471181;-56,49444166;238
5100607;510060;7;alto taquari;mt;-17,83474365;-53,28199312;851
5100805;510080;5;apiacas;mt;-9,565495169;-57,39540224;220
5101001;510100;1;araguaiana;mt;-15,7312435;-51,83362165;269
5101209;510120;9;araguainha;mt;-16,85754554;-53,03561988;462
5101258;510125;8;araputanga;mt;-15,46814427;-58,34836715;200
5101308;510130;8;arenapolis;mt;-14,45552167;-56,84448924;247
5101407;510140;7;aripuana;mt;-10,1725237;-59,44861638;105
5101605;510160;5;barao de melgaco;mt;-16,19509945;-55,96712113;156
5101704;510170;4;barra do bugres;mt;-15,06625794;-57,18640869;171
5101803;510180;3;barra do garcas;mt;-15,88871145;-52,26032976;318
5101852;510185;2;bom jesus do araguaia;mt;-12,17359834;-51,50363923;0
5101902;510190;2;brasnorte;mt;-12,12493814;-58,00267363;317
5102504;510250;4;caceres;mt;-16,07409563;-57,67476231;118
5102603;510260;3;campinapolis;mt;-14,53961743;-52,79749475;450
5102637;510263;7;campo novo do parecis;mt;-13,65473317;-57,88854648;572
5102678;510267;8;campo verde;mt;-15,55370427;-55,17165541;736
5102686;510268;6;campos de julio;mt;-13,71992305;-59,26340852;0
5102694;510269;4;canabrava do norte;mt;-11,04618692;-51,83775801;225
5102702;510270;2;canarana;mt;-13,55922951;-52,27345686;420
5102793;510279;3;carlinda;mt;-9,966665793;-55,82161478;290
5102850;510285;0;castanheira;mt;-11,13410786;-58,61340926;400
5103007;510300;7;chapada dos guimaraes;mt;-15,46056968;-55,74500452;811
5103056;510305;6;claudia;mt;-11,50531074;-54,87418245;368
5103106;510310;6;cocalinho;mt;-14,39036554;-51,01124364;241
5103205;510320;5;colider;mt;-10,80408978;-55,46423054;265
5103254;510325;4;colniza;mt;-9,457903847;-59,21894867;0
5103304;510330;4;comodoro;mt;-13,66055992;-59,79043099;600
5103353;510335;3;confresa;mt;-10,64073058;-51,57103362;240
5103361;510336;1;conquista d'oeste;mt;-14,53627281;-59,54507421;0
5103379;510337;9;cotriguacu;mt;-9,886253872;-58,60689497;200
5103403;510340;3;cuiaba;mt;-15,56998901;-56,07325204;176
5103437;510343;7;curvelandia;mt;-15,60930617;-57,91711498;0
5103452;510345;2;denise;mt;-14,73381592;-57,05377727;211
5103502;510350;2;diamantino;mt;-14,40132296;-56,43356608;269
5103601;510360;1;dom aquino;mt;-15,80745515;-54,91748078;283
5103700;510370;0;feliz natal;mt;-12,38324703;-54,93390407;370
5103809;510380;9;figueiropolis d'oeste;mt;-15,44613511;-58,73782455;300
5103858;510385;8;gaucha do norte;mt;-13,18804319;-53,26151867;0
5103908;510390;8;general carneiro;mt;-15,70704179;-52,75930983;343
5103957;510395;7;gloria d'oeste;mt;-15,76796231;-58,31448559;0
5104104;510410;4;guaranta do norte;mt;-9,954073234;-54,91605731;345
5104203;510420;3;guiratinga;mt;-16,34838927;-53,76096403;510
5104500;510450;0;indiavai;mt;-15,49751423;-58,57399239;215
5104526;510452;6;ipiranga do norte;mt;-12,236842;-56,15979314;
5104542;510454;2;itanhanga;mt;-12,23476872;-56,64934361;
5104559;510455;9;itauba;mt;-11,0077119;-55,24668933;240
5104609;510460;9;itiquira;mt;-17,20682506;-54,1443009;522
5104807;510480;7;jaciara;mt;-15,96483818;-54,96418818;367
5104906;510490;6;jangada;mt;-15,23968723;-56,49019456;178
5105002;510500;2;jauru;mt;-15,34189638;-58,8798384;405
5105101;510510;1;juara;mt;-11,25035998;-57,51312322;292
5105150;510515;0;juina;mt;-11,42201803;-58,76221715;442
5105176;510517;6;juruena;mt;-10,32911278;-58,49630917;300
5105200;510520;0;juscimeira;mt;-16,04468519;-54,88876094;251
5105234;510523;4;lambari d'oeste;mt;-15,31550124;-58,00582518;186
5105259;510525;9;lucas do rio verde;mt;-13,07046495;-55,92177071;390
5105309;510530;9;luciara;mt;-11,2280971;-50,66320158;197
5105507;510550;7;vila bela da santissima trindade;mt;-15,00932448;-59,9525582;198
5105580;510558;0;marcelandia;mt;-11,08059141;-54,51930623;290
5105606;510560;6;matupa;mt;-10,17210747;-54,93180572;280
5105622;510562;2;mirassol d'oeste;mt;-15,67407078;-58,09790357;260
5105903;510590;3;nobres;mt;-14,72450027;-56,33408483;200
5106000;510600;0;nortelandia;mt;-14,45372456;-56,80206898;244
5106109;510610;9;nossa senhora do livramento;mt;-15,78967621;-56,34525856;232
5106158;510615;8;nova bandeirantes;mt;-9,84295282;-57,8184758;200
5106174;510617;4;nova nazare;mt;-13,98786727;-51,79743422;0
5106182;510618;2;nova lacerda;mt;-14,46978899;-59,5903305;190
5106190;510619;0;nova santa helena;mt;-10,85099998;-55,18368574;0
5106208;510620;8;nova brasilandia;mt;-14,92546446;-54,97190887;540
5106216;510621;6;nova canaa do norte;mt;-10,63110423;-55,71487731;301
5106224;510622;4;nova mutum;mt;-13,83272569;-56,11000525;460
5106232;510623;2;nova olimpia;mt;-14,77941424;-57,28292396;228
5106240;510624;0;nova ubirata;mt;-13,03382772;-55,27321332;400
5106257;510625;7;nova xavantina;mt;-14,66917952;-52,36119267;275
5106265;510626;5;novo mundo;mt;-9,977109194;-55,17201893;330
5106273;510627;3;novo horizonte do norte;mt;-11,38763478;-57,31747511;220
